train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/std,train/loss,time/total_timesteps,train/explained_variance,train/value_loss,train/clip_range,time/iterations,rollout/ep_len_mean,train/clip_fraction,rollout/ep_rew_mean,time/fps,train/approx_kl,time/time_elapsed,train/learning_rate
7990,-0.038965291844215245,-17.40654152035713,0.6907464265823364,152.1521759033203,1638400,0.9287993,340.3661997795105,0.2,800,90.89,0.32744140625,488.14293231999994,49,0.07023951,33286,0.0003
8090,-0.03493849367660005,-17.348378133773803,0.6884121298789978,135.7481689453125,1658880,0.9267119,388.2178695201874,0.2,810,91.62,0.331689453125,486.80920086,49,0.09827357,33368,0.0003
8190,-0.030011944478610532,-17.236259245872496,0.6841111183166504,85.5934829711914,1679360,0.93231034,338.80174469947815,0.2,820,88.89,0.38466796875,475.54750775,50,0.11671451,33452,0.0003
8290,-0.03867807624337729,-17.2168129324913,0.6826961636543274,188.5841522216797,1699840,0.9065513,406.14456362724303,0.2,830,95.52,0.38642578125,505.97409979,50,0.14196676,33535,0.0003
8390,-0.042716874051257035,-17.103478145599365,0.6785557866096497,85.88966369628906,1720320,0.9439861,321.20946822166445,0.2,840,94.75,0.33798828125,504.51177547,51,0.09369467,33619,0.0003
8490,-0.032617005560314286,-17.04570702314377,0.6768014430999756,161.47036743164062,1740800,0.91969085,444.9823718070984,0.2,850,92.09,0.35166015625,491.41597344999997,51,0.14523576,33701,0.0003
8590,-0.03461757822369691,-16.958105391263963,0.6732935905456543,223.75201416015625,1761280,0.92711776,433.26499605178833,0.2,860,99.98,0.337353515625,539.87048231,52,0.10316888,33783,0.0003
8690,-0.03978114832716528,-16.835022950172423,0.6686954498291016,193.9774932861328,1781760,0.89003617,502.08278756141664,0.2,870,97.27,0.330078125,520.71438815,52,0.08893913,33865,0.0003
8790,-0.029663531697588043,-16.78242204785347,0.6673548221588135,117.8656997680664,1802240,0.92757595,381.7407031059265,0.2,880,96.47,0.361962890625,515.57953368,53,0.117104776,33950,0.0003
8890,-0.021082029773970133,-16.674317026138304,0.664231538772583,148.6230010986328,1822720,0.9377731,317.2529452800751,0.2,890,98.24,0.387548828125,528.22231469,53,0.16560772,34033,0.0003
8990,-0.026673872375977226,-16.569170045852662,0.6599388122558594,120.06146240234375,1843200,0.92043966,418.01853437423705,0.2,900,98.7,0.3857421875,529.48712559,54,0.1312686,34112,0.0003
9090,-0.03686295174702536,-16.508279460668565,0.6584122776985168,153.7158203125,1863680,0.8992488,461.5990575790405,0.2,910,96.99,0.328076171875,521.7007969299999,54,0.08723314,34193,0.0003
9190,-0.03222893490747083,-16.381986093521117,0.6528598666191101,97.27366638183594,1884160,0.9369713,360.133882188797,0.2,920,97.68,0.366748046875,529.2221613899999,54,0.14660487,34274,0.0003
9290,-0.032283474848372865,-16.333121103048324,0.6519993543624878,132.95777893066406,1904640,0.9243979,423.00175576210023,0.2,930,98.61,0.363818359375,532.65559123,55,0.12130983,34356,0.0003
9390,-0.03139294861466624,-16.27543552517891,0.6500516533851624,191.07998657226562,1925120,0.9348649,402.4299597263336,0.2,940,99.39,0.34501953125,531.70849294,55,0.09799258,34438,0.0003
9490,-0.021816965943435206,-16.28984208703041,0.6512587070465088,159.5583953857422,1945600,0.91988254,409.7095091342926,0.2,950,95.77,0.388037109375,516.87903276,56,0.14322889,34520,0.0003
9590,-0.029817847951198927,-16.22788087129593,0.6490830183029175,274.0314636230469,1966080,0.9166472,472.7631693840027,0.2,960,101.19,0.3595703125,549.9899211,56,0.105143964,34605,0.0003
9690,-0.027116292872233317,-16.246782612800597,0.6503087282180786,186.27947998046875,1986560,0.9163575,447.69818887710574,0.2,970,100.16,0.34228515625,541.43687615,57,0.11643951,34689,0.0003
9790,-0.032620074386068156,-16.16329292058945,0.647591769695282,305.51239013671875,2007040,0.8897389,608.1426393032074,0.2,980,103.31,0.331396484375,561.5207737,57,0.121118575,34772,0.0003
9890,-0.026227966908481903,-16.121370697021483,0.6459943056106567,162.92921447753906,2027520,0.93881625,405.3205177307129,0.2,990,98.71,0.38310546875,537.5212354600001,58,0.15304501,34854,0.0003
9990,-0.019920238773920573,-16.050097781419755,0.6432042717933655,213.28628540039062,2048000,0.904195,499.43494205474855,0.2,1000,97.33,0.3341796875,525.5040322199999,58,0.16646902,34936,0.0003
10090,-0.014395064301788807,-15.96302837729454,0.6409434676170349,97.08137512207031,2068480,0.94118005,364.11509828567506,0.2,1010,103.01,0.4037109375,561.1082134999999,59,0.18901065,35019,0.0003
10190,-0.017326255844091067,-15.878624418377877,0.6377843618392944,181.39633178710938,2088960,0.9231158,488.95921273231505,0.2,1020,103.04,0.354296875,553.70739637,59,0.1270228,35101,0.0003
10290,-0.01737762057746295,-15.827345904707908,0.6359097361564636,132.5146484375,2109440,0.935198,348.0719850540161,0.2,1030,104.31,0.40693359375,562.31022118,59,0.15784661,35182,0.0003
10390,-0.02403521274391096,-15.7872304469347,0.634143590927124,196.04818725585938,2129920,0.9325207,404.3800372123718,0.2,1040,99.89,0.38544921875,545.81796293,60,0.18518129,35264,0.0003
10490,-0.0300161114661023,-15.788068470358848,0.634585440158844,136.1798095703125,2150400,0.9233574,449.0093657493591,0.2,1050,101.32,0.347412109375,551.59445579,60,0.122671135,35348,0.0003
10590,-0.033596389408921824,-15.743756726384163,0.6335396766662598,198.1397705078125,2170880,0.9348833,448.0914184093475,0.2,1060,100.53,0.37978515625,544.20973577,61,0.14825936,35432,0.0003
10690,-0.02692031732585747,-15.677383032441139,0.6310989260673523,185.5865936279297,2191360,0.92600054,462.0713523387909,0.2,1070,99.56,0.373974609375,534.285506,61,0.18480898,35515,0.0003
10790,-0.03129217842797516,-15.662490165233612,0.6309216022491455,167.9457550048828,2211840,0.9361732,374.0294464111328,0.2,1080,99.5,0.344580078125,536.06221889,62,0.10567626,35593,0.0003
10890,-0.020064967375947162,-15.58979778289795,0.6284828186035156,232.8428955078125,2232320,0.9351242,400.40429162979126,0.2,1090,107.99,0.3802734375,583.29737213,62,0.19729167,35671,0.0003
10990,-0.02354608045425266,-15.50548751950264,0.6257613897323608,190.5421600341797,2252800,0.9377307,365.4395387172699,0.2,1100,100.85,0.389111328125,543.2580128700001,63,0.19525254,35750,0.0003
11090,-0.020941628952277823,-15.513548398017884,0.6260614991188049,209.3314208984375,2273280,0.92012906,470.95323791503904,0.2,1110,103.28,0.398046875,556.0309165,63,0.16918193,35831,0.0003
11190,-0.03372555599489715,-15.464415317773819,0.6239778995513916,173.52938842773438,2293760,0.90098083,567.363745355606,0.2,1120,105.56,0.3603515625,565.8900493599999,63,0.14645234,35911,0.0003
11290,-0.03083380088210106,-15.453699976205826,0.6231646537780762,168.3268280029297,2314240,0.93113124,446.5842446327209,0.2,1130,101.93,0.376220703125,547.4703247000001,64,0.14088687,35992,0.0003
