train/n_updates,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef,train/critic_loss,time/fps,train/ent_coef_loss,time/episodes,train/actor_loss
102457,177.99,0.0003,902.46497718,3166,102558,0.02019783854484558,28.864707946777344,32,-5.957540512084961,1110,-193.99298095703125
104197,179.99,0.0003,908.3879465799998,3222,104298,0.021168172359466553,32.09272003173828,32,-7.859944820404053,1120,-180.53933715820312
106067,183.13,0.0003,923.0907999200001,3282,106168,0.02112755924463272,35.36343765258789,32,0.4664262533187866,1130,-190.23709106445312
108023,186.05,0.0003,934.4191189100001,3344,108124,0.02095908112823963,32.055564880371094,32,-3.300633430480957,1140,-182.42578125
110332,190.39,0.0003,956.73084837,3418,110433,0.021853383630514145,35.8837890625,32,-1.9473849534988403,1150,-178.950927734375
112219,185.83,0.0003,935.71641087,3479,112320,0.021634308621287346,45.05223083496094,32,-2.7059473991394043,1160,-197.76876831054688
113921,181.8,0.0003,919.7231745999999,3532,114022,0.021904541179537773,41.30305480957031,32,1.9367252588272095,1170,-194.9995574951172
115454,177.04,0.0003,899.0687163700001,3581,115555,0.021973788738250732,37.88059997558594,32,-0.5929195880889893,1180,-188.75656127929688
117175,178.84,0.0003,911.5754554700001,3635,117276,0.022512808442115784,44.68840789794922,32,4.535378932952881,1190,-195.1012725830078
119660,188.9,0.0003,964.21389979,3714,119761,0.022135036066174507,44.749839782714844,32,0.8292859792709351,1200,-197.81507873535156
122429,199.72,0.0003,1019.0131033400003,3802,122530,0.02249990403652191,37.705726623535156,32,-1.8634599447250366,1210,-193.46080017089844
125227,210.3,0.0003,1076.9979819500002,3890,125328,0.02271292731165886,41.21806335449219,32,-0.27350306510925293,1220,-197.1539306640625
127889,218.22,0.0003,1116.2550136299997,3975,127990,0.023026395589113235,45.968868255615234,32,1.1054307222366333,1230,-202.75881958007812
130973,229.5,0.0003,1177.1471132,4074,131074,0.023135920986533165,33.662723541259766,32,-1.7698569297790527,1240,-199.72695922851562
134255,239.23,0.0003,1227.0223260799999,4179,134356,0.023767618462443352,38.7630615234375,32,-1.1798193454742432,1250,-206.48236083984375
136878,246.59,0.0003,1261.6294826399999,4262,136979,0.02373201958835125,41.78208923339844,32,-2.129638195037842,1260,-205.3662109375
139320,253.99,0.0003,1297.59714674,4340,139421,0.024245785549283028,44.71646499633789,32,1.2350234985351562,1270,-202.75424194335938
141323,258.69,0.0003,1318.71598009,4403,141424,0.024734528735280037,41.91636657714844,32,3.068635940551758,1280,-215.60198974609375
143782,266.07,0.0003,1356.1637312000003,4482,143883,0.024587303400039673,55.79084014892578,32,0.7219635844230652,1290,-210.95742797851562
146771,271.11,0.0003,1382.81314021,4576,146872,0.024897024035453796,56.675140380859375,32,3.015157461166382,1300,-230.33721923828125
149856,274.27,0.0003,1401.08154321,4674,149957,0.025875438004732132,48.07697677612305,32,-2.1705470085144043,1310,-217.36849975585938
152220,269.93,0.0003,1374.9147836199998,4749,152321,0.02598186954855919,46.62369918823242,32,-3.934448719024658,1320,-222.47410583496094
156754,288.65,0.0003,1469.0791332199997,22548,156855,0.025780538097023964,47.636009216308594,6,-3.9682374000549316,1330,-219.6326141357422
161419,304.46,0.0003,1544.25559668,22638,161520,0.025985809043049812,45.98179244995117,7,3.1262574195861816,1340,-229.03329467773438
166769,325.14,0.0003,1649.0267863499998,22741,166870,0.027299171313643456,47.70283126831055,7,-0.16613435745239258,1350,-225.4398651123047
171763,348.85,0.0003,1770.1865424999999,22838,171864,0.028509004041552544,54.34417724609375,7,-1.3949720859527588,1360,-241.387451171875
175662,363.42,0.0003,1845.9596550599995,22915,175763,0.027343394234776497,56.1788215637207,7,2.5226073265075684,1370,-234.48085021972656
180702,393.79,0.0003,2004.6248237600003,23015,180803,0.028228864073753357,57.15260696411133,7,-0.6445631980895996,1380,-247.44009399414062
