train/critic_loss,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/n_updates,time/episodes,train/ent_coef,train/learning_rate,time/fps,train/ent_coef_loss
53.80535888671875,357677,2110.3773732899995,400.02,30897,-252.93988037109375,357576,2540,0.027764467522501945,0.0003,11,3.638251304626465
58.36061096191406,361413,2108.3140025800003,399.73,30946,-249.37013244628906,361312,2550,0.027704637497663498,0.0003,11,-1.1522403955459595
62.937774658203125,365602,2155.75685831,408.67,31000,-269.2045593261719,365501,2560,0.028745075687766075,0.0003,11,-6.347274303436279
57.83671569824219,371716,2333.4689894000003,441.32,31080,-250.2759246826172,371615,2570,0.028497476130723953,0.0003,11,-1.3401391506195068
58.62089538574219,377245,2469.53909428,466.17,31155,-269.58526611328125,377144,2580,0.027575885877013206,0.0003,12,-4.2377238273620605
64.0555419921875,383951,2655.22010548,500.68,31248,-260.2834167480469,383850,2590,0.028484197333455086,0.0003,12,0.39181703329086304
59.93349075317383,387446,2587.88740097,486.9,31296,-266.83551025390625,387345,2600,0.02845187671482563,0.0003,12,2.09883451461792
69.89541625976562,392234,2552.81494943,479.38,31362,-274.5340576171875,392133,2610,0.027762213721871376,0.0003,12,-1.7646316289901733
61.56284713745117,398669,2605.72850348,488.86,31451,-263.383544921875,398568,2620,0.027541600167751312,0.0003,12,-1.300201654434204
65.5821304321289,404880,2710.0009762199998,508.7,31533,-275.13409423828125,404779,2630,0.028487903997302055,0.0003,12,-0.1282213032245636
56.796600341796875,409731,2775.9218308600002,520.54,31599,-273.8706359863281,409630,2640,0.028551222756505013,0.0003,12,6.663370132446289
66.94535827636719,414710,2842.9623708999993,532.97,31669,-278.15570068359375,414609,2650,0.028893230482935905,0.0003,13,3.51171875
74.50727844238281,422726,3046.99799572,571.24,31777,-276.1002502441406,422625,2660,0.0289570614695549,0.0003,13,0.5409008264541626
78.14470672607422,429770,3093.47514136,580.54,31875,-271.5181579589844,429669,2670,0.029737072065472603,0.0003,13,4.848101615905762
83.55107116699219,435974,3129.0107321400005,587.29,31958,-283.8415832519531,435873,2680,0.028370292857289314,0.0003,13,-0.2442786693572998
80.9306411743164,444568,3230.688638469999,606.17,32074,-295.2985534667969,444467,2690,0.028742732480168343,0.0003,13,2.1809630393981934
62.31060791015625,450438,3355.8212704499997,629.92,32151,-286.6038818359375,450337,2700,0.028693633154034615,0.0003,14,1.145165205001831
60.3670539855957,456629,3431.7589049800004,643.95,32232,-293.4559326171875,456528,2710,0.02943667210638523,0.0003,14,-1.0108224153518677
73.78947448730469,464829,3530.0134250700003,661.6,32342,-308.52874755859375,464728,2720,0.02904869057238102,0.0003,14,-3.9808759689331055
64.51055908203125,473461,3670.6165887100005,685.81,32458,-312.0120849609375,473360,2730,0.028906941413879395,0.0003,14,-1.7839643955230713
62.9786491394043,481328,3840.30907947,715.97,32561,-310.69580078125,481227,2740,0.02900303155183792,0.0003,14,3.4625556468963623
59.60288619995117,490134,4050.79234231,754.24,32676,-316.63409423828125,490033,2750,0.029826615005731583,0.0003,14,-3.744025945663452
81.94764709472656,497180,4000.2060958999996,744.54,32772,-305.1243896484375,497079,2760,0.029132042080163956,0.0003,15,0.5377213954925537
72.02140808105469,506956,4158.24196518,771.86,32900,-303.92059326171875,506855,2770,0.02798876166343689,0.0003,15,-0.9365043640136719
75.54698944091797,515452,4284.44493341,794.78,33010,-320.4868469238281,515351,2780,0.028924010694026947,0.0003,15,2.670976161956787
90.69728088378906,525167,4347.062994929999,805.99,33133,-326.5533752441406,525066,2790,0.028885971754789352,0.0003,15,9.2989501953125
56.7081184387207,535167,4577.37391265,847.29,33261,-344.55230712890625,535066,2800,0.029538258910179138,0.0003,16,-8.068181991577148
63.2386589050293,544374,4739.85245342,877.45,33380,-344.2236328125,544273,2810,0.02928096055984497,0.0003,16,0.8038054704666138
67.8975601196289,553613,4798.3245835299995,887.84,33499,-357.0046691894531,553512,2820,0.029504859820008278,0.0003,16,-1.1272611618041992
44.15697479248047,563613,4873.8015713800005,901.52,33629,-359.58026123046875,563512,2830,0.02895478345453739,0.0003,16,-9.051045417785645
90.49122619628906,573613,4991.89322211,922.85,33761,-348.60491943359375,573512,2840,0.02928496152162552,0.0003,16,2.8799448013305664
60.44659423828125,582778,5014.89054766,926.44,33886,-367.5992126464844,582677,2850,0.028593281283974648,0.0003,17,-6.439208984375
60.25811767578125,592778,5176.55297206,955.98,34016,-359.7556457519531,592677,2860,0.028288323432207108,0.0003,17,3.3777379989624023
62.113914489746094,602099,5149.75105953,951.43,34137,-359.5699462890625,601998,2870,0.02953742817044258,0.0003,17,3.1998374462127686
74.60780334472656,612099,5235.80957465,966.47,34271,-377.2354736328125,611998,2880,0.027459345757961273,0.0003,17,-3.14343523979187
