train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,time/fps,time/total_timesteps,train/n_updates,train/actor_loss,rollout/ep_len_mean,time/episodes
0.001,83.17184336,3217,0.675572395324707,72,232309,232208,-41.1330451965332,17.96,13000
0.001,83.45563768,3220,1.1831822395324707,72,232492,232391,-40.10677719116211,18.05,13010
0.001,83.48755069,3222,0.6261336803436279,72,232670,232569,-40.05772018432617,18.07,13020
0.001,83.52726668000001,3225,1.3311882019042969,72,232850,232749,-42.07347869873047,18.09,13030
0.001,83.41134043,3227,0.9157519340515137,72,233028,232927,-41.20783996582031,18.06,13040
0.001,83.10191185000002,3230,0.9419318437576294,72,233208,233107,-38.915931701660156,17.96,13050
0.001,83.21701773999999,3232,1.2199232578277588,72,233384,233283,-39.84556579589844,18.0,13060
0.001,83.27643417000002,3235,0.6722898483276367,72,233564,233463,-41.14821243286133,18.02,13070
0.001,83.09940982,3237,0.4148162007331848,72,233743,233642,-41.02359390258789,17.96,13080
0.001,83.07892670999999,3240,0.8181570172309875,72,233926,233825,-40.25857162475586,17.96,13090
0.001,83.05416761999999,3242,1.066662311553955,72,234104,234003,-39.014427185058594,17.95,13100
0.001,82.92481189,3245,0.7104805111885071,72,234283,234182,-38.97575378417969,17.91,13110
0.001,82.93479493,3247,0.7090437412261963,72,234461,234360,-38.698543548583984,17.91,13120
0.001,83.07363076000001,3250,1.7208046913146973,72,234645,234544,-38.38180923461914,17.95,13130
0.001,82.92573659999998,3252,1.4881000518798828,72,234818,234717,-40.80116271972656,17.9,13140
0.001,82.84828263,3255,1.2013177871704102,72,234995,234894,-38.22218322753906,17.87,13150
0.001,82.84651198,3257,0.6239802241325378,72,235171,235070,-39.569236755371094,17.87,13160
0.001,82.94882476,3260,0.6221515536308289,72,235354,235253,-40.903411865234375,17.9,13170
0.001,82.87072308,3262,0.6543776988983154,72,235530,235429,-41.08955001831055,17.87,13180
0.001,82.72964189,3265,0.644608736038208,72,235708,235607,-39.89188003540039,17.82,13190
0.001,82.84112710000001,3267,0.9514137506484985,72,235890,235789,-40.06547546386719,17.86,13200
0.001,83.03423929,3270,0.7714872360229492,72,236075,235974,-39.092926025390625,17.92,13210
0.001,83.08851974,3272,0.9821947813034058,72,236255,236154,-41.33845901489258,17.94,13220
0.001,82.78491183,3275,0.6324471235275269,72,236429,236328,-39.793643951416016,17.84,13230
0.001,82.92330201,3277,0.5968260765075684,72,236607,236506,-40.66677474975586,17.89,13240
0.001,82.92958520999998,3280,0.6415044665336609,72,236784,236683,-41.3499755859375,17.89,13250
0.001,83.05045682,3282,0.7850251793861389,72,236965,236864,-41.47685623168945,17.94,13260
0.001,82.92298524,3285,0.8606644868850708,72,237145,237044,-40.78990936279297,17.91,13270
0.001,83.04081377,3287,0.9226728677749634,72,237325,237224,-39.64216613769531,17.95,13280
0.001,83.00181761,3290,1.0729457139968872,72,237502,237401,-39.559120178222656,17.94,13290
0.001,82.85513223,3292,0.9889485836029053,72,237679,237578,-37.880611419677734,17.89,13300
0.001,82.77435143000001,3295,0.6844522953033447,72,237862,237761,-41.22459411621094,17.87,13310
0.001,82.72548354,3297,0.7124228477478027,72,238040,237939,-39.11008071899414,17.85,13320
0.001,82.80811137,3300,0.621455192565918,72,238217,238116,-40.48814392089844,17.88,13330
0.001,82.86819106000002,3302,0.9403354525566101,72,238396,238295,-40.098838806152344,17.89,13340
0.001,83.24018170000001,3305,0.904994010925293,72,238586,238485,-40.60173034667969,18.02,13350
0.001,83.38893529,3307,0.6847356557846069,72,238771,238670,-38.08766555786133,18.06,13360
0.001,83.30172222000002,3310,0.7292497158050537,72,238947,238846,-39.8949089050293,18.02,13370
0.001,83.2714579,3312,0.831887423992157,72,239126,239025,-41.146610260009766,18.01,13380
0.001,83.13819114999998,3315,1.2809141874313354,72,239298,239197,-40.0657958984375,17.96,13390
0.001,83.28144262000002,3317,1.0245188474655151,72,239480,239379,-42.220237731933594,18.01,13400
0.001,83.15229303,3320,0.8768049478530884,72,239659,239558,-41.64750671386719,17.97,13410
0.001,83.21400028,3323,0.7203667163848877,72,239839,239738,-38.39012145996094,17.99,13420
0.001,83.26481376000001,3325,1.0644530057907104,72,240018,239917,-40.09418487548828,18.01,13430
0.001,83.19642016999998,3328,0.6472982168197632,72,240195,240094,-44.674293518066406,17.99,13440
0.001,82.92112734,3330,0.5390638709068298,72,240375,240274,-38.68266296386719,17.89,13450
0.001,82.67774644,3332,0.6020710468292236,72,240552,240451,-38.650367736816406,17.81,13460
0.001,82.88514086,3335,0.7609034776687622,72,240736,240635,-38.82490921020508,17.89,13470
0.001,82.83967840999998,3337,1.4510692358016968,72,240914,240813,-43.754150390625,17.88,13480
0.001,83.20723391000001,3340,0.9460365772247314,72,241098,240997,-40.851226806640625,18.0,13490
0.001,83.01070283000001,3342,0.5395298600196838,72,241273,241172,-41.14796447753906,17.93,13500
0.001,83.02816049,3345,0.6535151600837708,72,241452,241351,-41.40795135498047,17.93,13510
0.001,82.90279273,3348,0.5692347884178162,72,241628,241527,-37.689334869384766,17.89,13520
0.001,82.99517990999999,3350,0.7735018134117126,72,241809,241708,-39.57798385620117,17.91,13530
0.001,83.07445441,3353,1.0142667293548584,72,241989,241888,-37.602439880371094,17.94,13540
0.001,83.20403002,3355,0.6590808033943176,72,242174,242073,-39.70830154418945,17.99,13550
0.001,83.2940693,3358,0.8744214773178101,72,242354,242253,-41.20585632324219,18.02,13560
0.001,82.96098028,3360,0.8580965399742126,72,242526,242425,-39.551326751708984,17.9,13570
0.001,83.12576469,3363,0.8357022404670715,72,242710,242609,-41.06177520751953,17.96,13580
0.001,83.11519488999998,3365,0.7289043664932251,72,242894,242793,-39.991004943847656,17.96,13590
0.001,83.38295634,3368,1.3401875495910645,72,243078,242977,-38.763427734375,18.05,13600
0.001,83.32903354999999,3371,1.0549211502075195,72,243255,243154,-38.88829040527344,18.03,13610
0.001,83.38595103000002,3373,1.2818081378936768,72,243433,243332,-39.63660430908203,18.05,13620
0.001,83.45651117000001,3376,0.45129504799842834,72,243617,243516,-40.35933303833008,18.08,13630
0.001,83.60742421,3378,0.15037861466407776,72,243802,243701,-40.49736022949219,18.13,13640
