time/time_elapsed,train/n_updates,time/fps,time/episodes,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/actor_loss
3028,219293,72,6410,34.36,0.001,161.10335958,0.34589090943336487,219394,-73.48863220214844
3033,219634,72,6420,34.31,0.001,160.83531331999998,0.20579135417938232,219735,-70.46798706054688
3038,219978,72,6430,34.32,0.001,160.91923943,0.33129557967185974,220079,-73.58998107910156
3043,220321,72,6440,34.35,0.001,161.09678873,0.2338499128818512,220422,-72.53551483154297
3047,220664,72,6450,34.33,0.001,160.99141873,0.17106932401657104,220765,-69.8484878540039
3052,221009,72,6460,34.36,0.001,161.16715603999998,0.31630897521972656,221110,-73.77513885498047
3057,221355,72,6470,34.35,0.001,161.06165248000002,0.22013172507286072,221456,-72.43037414550781
3062,221696,72,6480,34.31,0.001,160.92443619,0.27874183654785156,221797,-70.8076171875
3067,222038,72,6490,34.3,0.001,160.87235364999998,0.4542521834373474,222139,-72.26608276367188
3072,222381,72,6500,34.28,0.001,160.78811412999997,0.3402805030345917,222482,-70.60649108886719
3076,222724,72,6510,34.31,0.001,160.97801982000001,0.24817126989364624,222825,-68.17418670654297
3081,223068,72,6520,34.34,0.001,161.12325718,0.38755476474761963,223169,-71.48233795166016
3086,223411,72,6530,34.33,0.001,161.09934035,0.24996650218963623,223512,-70.96759033203125
3091,223757,72,6540,34.36,0.001,161.20809025,0.18247631192207336,223858,-70.00455474853516
3096,224102,72,6550,34.38,0.001,161.34971510999998,0.3405139446258545,224203,-69.88156127929688
3101,224443,72,6560,34.34,0.001,161.16416032,0.2934621572494507,224544,-75.15046691894531
3105,224786,72,6570,34.31,0.001,161.15953638000002,0.20873498916625977,224887,-72.83819580078125
3110,225130,72,6580,34.34,0.001,161.30200829,0.472324937582016,225231,-74.59341430664062
3115,225472,72,6590,34.34,0.001,161.32542173,0.4193779230117798,225573,-71.36572265625
3120,225812,72,6600,34.31,0.001,161.16690622,0.3062998652458191,225913,-67.89761352539062
3125,226156,72,6610,34.32,0.001,161.25513274,0.2760324478149414,226257,-72.16883850097656
3129,226497,72,6620,34.29,0.001,161.11261661999998,0.2607935070991516,226598,-71.33493041992188
3134,226842,72,6630,34.31,0.001,161.23342838,0.2445203810930252,226943,-68.7279052734375
3139,227186,72,6640,34.29,0.001,161.14147208,0.3959668278694153,227287,-71.60791015625
3144,227533,72,6650,34.31,0.001,161.20682938,0.18209794163703918,227634,-72.47550201416016
3149,227876,72,6660,34.33,0.001,161.28801052,0.4052470922470093,227977,-71.44632720947266
3154,228219,72,6670,34.33,0.001,161.20689065000002,0.2577034831047058,228320,-72.38096618652344
3159,228564,72,6680,34.34,0.001,161.24619625,0.15803037583827972,228665,-73.5655288696289
3163,228906,72,6690,34.34,0.001,161.18599251999999,0.33078575134277344,229007,-74.45759582519531
3168,229252,72,6700,34.4,0.001,161.4822004,0.2621098756790161,229353,-71.34500885009766
3173,229596,72,6710,34.4,0.001,161.44848521,0.3883282542228699,229697,-74.34859466552734
3178,229940,72,6720,34.43,0.001,161.56137018,0.20537391304969788,230041,-70.98357391357422
3182,230283,72,6730,34.41,0.001,161.36540734,0.1874881088733673,230384,-71.19778442382812
3187,230626,72,6740,34.4,0.001,161.33244654,0.31639569997787476,230727,-71.33346557617188
3192,230971,72,6750,34.38,0.001,161.31370751,0.31654539704322815,231072,-73.22444152832031
3197,231310,72,6760,34.34,0.001,161.19287753,0.2637880742549896,231411,-72.40995788574219
3202,231654,72,6770,34.35,0.001,161.20720906999998,0.276544988155365,231755,-74.84855651855469
3206,231996,72,6780,34.32,0.001,161.05685275000002,0.3321119546890259,232097,-74.51229858398438
3211,232340,72,6790,34.34,0.001,161.18555598,0.24797423183918,232441,-68.86683654785156
3216,232680,72,6800,34.28,0.001,160.81076416,0.29463857412338257,232781,-69.67290496826172
3221,233023,72,6810,34.27,0.001,160.74547386,0.38075876235961914,233124,-71.25947570800781
3226,233367,72,6820,34.27,0.001,160.76003606,0.20008379220962524,233468,-70.91471099853516
3231,233711,72,6830,34.28,0.001,160.81992082,0.35215699672698975,233812,-74.49433898925781
3236,234057,72,6840,34.31,0.001,160.92708962999998,0.333731085062027,234158,-71.76023864746094
3241,234403,72,6850,34.32,0.001,160.90016832,0.27202457189559937,234504,-74.32235717773438
3246,234750,72,6860,34.4,0.001,161.29076675,0.23088592290878296,234851,-71.36219787597656
3251,235094,72,6870,34.4,0.001,161.31447047,0.22615380585193634,235195,-69.16468811035156
3255,235441,72,6880,34.45,0.001,161.57954897000002,0.18606333434581757,235542,-73.12249755859375
3260,235783,72,6890,34.43,0.001,161.48287167999996,0.22358161211013794,235884,-72.88211059570312
3265,236128,72,6900,34.48,0.001,161.77895613,0.2514878511428833,236229,-75.25100708007812
3270,236470,72,6910,34.47,0.001,161.71665697999998,0.28122225403785706,236571,-71.518310546875
3275,236814,72,6920,34.47,0.001,161.7172411,0.2695748507976532,236915,-72.552490234375
3280,237156,72,6930,34.45,0.001,161.60592248,0.3232738971710205,237257,-68.60768127441406
3285,237501,72,6940,34.44,0.001,161.72503503,0.2575848400592804,237602,-76.75938415527344
3289,237845,72,6950,34.42,0.001,161.64592140000002,0.19168339669704437,237946,-71.07537078857422
3294,238189,72,6960,34.39,0.001,161.46930362,0.2763805389404297,238290,-69.55296325683594
3299,238535,72,6970,34.41,0.001,161.62444908999998,0.24521194398403168,238636,-68.03071594238281
3304,238879,72,6980,34.38,0.001,161.46490906,0.23652806878089905,238980,-69.26242065429688
3308,239223,72,6990,34.4,0.001,161.54444942,0.155782550573349,239324,-71.55590057373047
3313,239568,72,7000,34.4,0.001,161.57119898000002,0.20907732844352722,239669,-70.29224395751953
3318,239910,72,7010,34.4,0.001,161.54212945000003,0.43670663237571716,240011,-70.76097869873047
3323,240254,72,7020,34.4,0.001,161.56887038,0.25559085607528687,240355,-71.88555908203125
3328,240596,72,7030,34.4,0.001,161.56252159,0.18602721393108368,240697,-69.78046417236328
3332,240938,72,7040,34.37,0.001,161.31459469,0.15573392808437347,241039,-70.29949951171875
3337,241281,72,7050,34.36,0.001,161.23693463,0.45163989067077637,241382,-70.75471496582031
3342,241623,72,7060,34.34,0.001,161.09907619999998,0.20578454434871674,241724,-75.58192443847656
3347,241966,72,7070,34.31,0.001,160.91861502,0.24932146072387695,242067,-69.3150634765625
3352,242310,72,7080,34.31,0.001,160.94484305999998,0.29994550347328186,242411,-71.71202087402344
3357,242655,72,7090,34.32,0.001,161.04121555,0.2954403758049011,242756,-68.819091796875
3362,243000,72,7100,34.32,0.001,161.02682426,0.34364211559295654,243101,-70.27128601074219
3367,243340,72,7110,34.3,0.001,160.98871277,0.335293710231781,243441,-78.80967712402344
3372,243687,72,7120,34.33,0.001,161.17355739,0.17908033728599548,243788,-68.89275360107422
3377,244032,72,7130,34.36,0.001,161.37093376,0.3796955347061157,244133,-70.97433471679688
3382,244374,72,7140,34.36,0.001,161.33579229,0.4676528573036194,244475,-77.60171508789062
3386,244718,72,7150,34.37,0.001,161.39690278999998,0.25570785999298096,244819,-71.9831771850586
3391,245061,72,7160,34.38,0.001,161.4398079,0.6041525602340698,245162,-72.4746322631836
3396,245405,72,7170,34.39,0.001,161.48760364,0.2861454486846924,245506,-67.0525894165039
3401,245748,72,7180,34.38,0.001,161.38838221000003,0.4569748044013977,245849,-67.49237060546875
3406,246092,72,7190,34.37,0.001,161.30040555000002,0.3685440421104431,246193,-71.44367980957031
3411,246435,72,7200,34.35,0.001,161.21594908,0.5255937576293945,246536,-72.64712524414062
3415,246780,72,7210,34.4,0.001,161.47965226999997,0.29151251912117004,246881,-72.00552368164062
3421,247122,72,7220,34.35,0.001,161.1772102,0.33583295345306396,247223,-74.40556335449219
3426,247468,72,7230,34.36,0.001,161.21411454,0.3473726511001587,247569,-75.348876953125
3430,247812,72,7240,34.38,0.001,161.31449007999998,0.484639048576355,247913,-70.98095703125
3435,248156,72,7250,34.38,0.001,161.28743986,0.3093908429145813,248257,-70.55838012695312
3440,248501,72,7260,34.4,0.001,161.40675931,0.3117409348487854,248602,-73.27217102050781
3445,248843,72,7270,34.38,0.001,161.26978366000003,0.3398905396461487,248944,-71.44491577148438
3450,249186,72,7280,34.38,0.001,161.29450743,0.16439388692378998,249287,-73.62796783447266
3455,249533,72,7290,34.41,0.001,161.44223568999996,0.2478289157152176,249634,-74.04627990722656
3459,249880,72,7300,34.45,0.001,161.65237359,0.1456272453069687,249981,-70.31548309326172
3464,250219,72,7310,34.39,0.001,161.3080118,0.22579021751880646,250320,-67.5084228515625
3469,250563,72,7320,34.41,0.001,161.44001248,0.17851561307907104,250664,-68.32633972167969
3474,250907,72,7330,34.39,0.001,161.34795866,0.29951974749565125,251008,-75.21282196044922
3479,251254,72,7340,34.42,0.001,161.47945765,0.28029677271842957,251355,-75.64082336425781
3484,251597,72,7350,34.41,0.001,161.48958980999998,0.2553633153438568,251698,-68.56298828125
