time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/episodes,rollout/ep_len_mean,train/critic_loss,time/fps,train/n_updates,train/learning_rate
88224,1286,70.14309492000001,-39.00836944580078,5930,14.84,0.09912379831075668,68,88123,0.001
88372,1288,70.18724297,-33.351558685302734,5940,14.85,0.09480104595422745,68,88271,0.001
88519,1290,70.09458723,-36.7122917175293,5950,14.83,0.09127657115459442,68,88418,0.001
88669,1293,70.13151064,-36.713706970214844,5960,14.84,0.08011268824338913,68,88568,0.001
88817,1295,70.1327092,-33.63419723510742,5970,14.84,0.229280024766922,68,88716,0.001
88966,1297,70.14467403,-36.10972595214844,5980,14.84,0.10979287326335907,68,88865,0.001
89115,1299,70.14859953,-34.35147476196289,5990,14.84,0.35977035760879517,68,89014,0.001
89263,1301,70.10483296000001,-36.37840270996094,6000,14.83,0.10236940532922745,68,89162,0.001
89412,1303,70.24872513999999,-36.645835876464844,6010,14.86,0.2929529547691345,68,89311,0.001
89561,1305,70.25670317999999,-34.55086898803711,6020,14.86,0.23543906211853027,68,89460,0.001
89709,1308,70.21794772,-35.04800033569336,6030,14.85,0.15690332651138306,68,89608,0.001
89859,1310,70.31874548,-35.641632080078125,6040,14.87,0.14679068326950073,68,89758,0.001
90007,1312,70.36398346000001,-35.3342399597168,6050,14.88,0.1529000699520111,68,89906,0.001
90153,1314,70.17885599,-34.80126953125,6060,14.84,0.285236120223999,68,90052,0.001
90303,1317,70.2717607,-35.04802703857422,6070,14.86,0.042504385113716125,68,90202,0.001
90450,1319,70.17068649,-33.132362365722656,6080,14.84,0.16384032368659973,68,90349,0.001
90597,1321,70.07755025,-34.80254364013672,6090,14.82,0.3387150168418884,68,90496,0.001
90745,1323,70.06893751,-35.98211669921875,6100,14.82,0.11520020663738251,68,90644,0.001
90894,1325,70.07145864999998,-35.43376541137695,6110,14.82,0.28273966908454895,68,90793,0.001
91043,1327,70.07031641,-34.63018798828125,6120,14.82,0.01244531199336052,68,90942,0.001
91193,1329,70.16140183,-36.28237533569336,6130,14.84,0.153245210647583,68,91092,0.001
91341,1331,70.06421272,-34.17918014526367,6140,14.82,0.039908379316329956,68,91240,0.001
91489,1333,70.0603342,-36.23459243774414,6150,14.82,0.014506103470921516,68,91388,0.001
91637,1336,70.14951784,-36.00672149658203,6160,14.84,0.08592762798070908,68,91536,0.001
91786,1338,70.10083948,-36.68290328979492,6170,14.83,0.047717317938804626,68,91685,0.001
91935,1340,70.19801272000001,-37.816062927246094,6180,14.85,0.23439061641693115,68,91834,0.001
92083,1342,70.24195072999999,-36.61457061767578,6190,14.86,0.2204103022813797,68,91982,0.001
92231,1344,70.24553289,-38.98665237426758,6200,14.86,0.1517847180366516,68,92130,0.001
92380,1346,70.24336194,-35.91737747192383,6210,14.86,0.22033564746379852,68,92279,0.001
92529,1348,70.25051256,-33.60924530029297,6220,14.86,0.16536185145378113,68,92428,0.001
92676,1350,70.10483983999998,-37.258460998535156,6230,14.83,0.21261075139045715,68,92575,0.001
92826,1352,70.19529345999999,-34.82433319091797,6240,14.85,0.17536860704421997,68,92725,0.001
92974,1355,70.2010155,-35.078895568847656,6250,14.85,0.30102044343948364,68,92873,0.001
93123,1357,70.24468827000001,-36.38684844970703,6260,14.86,0.282713919878006,68,93022,0.001
93270,1359,70.14814091000001,-35.416725158691406,6270,14.84,0.15182721614837646,68,93169,0.001
93418,1361,70.10672988,-35.54435348510742,6280,14.83,0.10208180546760559,68,93317,0.001
93566,1364,70.11711539,-34.56026840209961,6290,14.83,0.22593843936920166,68,93465,0.001
93715,1366,70.17335192,-36.08160400390625,6300,14.84,0.09792803227901459,68,93614,0.001
93864,1368,70.17472144,-33.137325286865234,6310,14.84,0.1664077639579773,68,93763,0.001
94013,1370,70.15859751,-35.27500915527344,6320,14.84,0.12157904356718063,68,93912,0.001
94161,1372,70.20789921000001,-36.10533142089844,6330,14.85,0.18718793988227844,68,94060,0.001
94310,1374,70.16849596000002,-34.80933380126953,6340,14.84,0.23024168610572815,68,94209,0.001
94458,1376,70.17107261,-35.04060363769531,6350,14.84,0.15180256962776184,68,94357,0.001
94607,1379,70.17598011,-37.77119445800781,6360,14.84,0.11020521819591522,68,94506,0.001
94754,1381,70.18720255000001,-34.441131591796875,6370,14.84,0.1524883210659027,68,94653,0.001
94904,1383,70.28660881,-34.2170524597168,6380,14.86,0.18302348256111145,68,94803,0.001
